0, 1969, 0
1, 1943, 0
2, 1945, 0
0, 1979, 0
1, 1955, 32
2, 1957, 0
0, 1979, 49
1, 1955, 32
2, 1957, 44
0, 1979, 52
1, 1955, 47
2, 1957, 45
0, 1979, 53
1, 1955, 48
2, 1957, 46
0, 1979, 53
1, 1955, 48
2, 1957, 47
0, 1979, 52
1, 1955, 48
2, 1957, 46
0, 1979, 52
1, 1955, 42
2, 1957, 46
0, 1979, 53
1, 1955, 48
2, 1957, 47
0, 1997, 54
1, 1973, 44
2, 1975, 37
0, 1997, 54
1, 1973, 37
2, 1975, 37
0, 1997, 54
1, 1973, 35
2, 1975, 35
0, 1997, 55
1, 1973, 35
2, 1975, 36
0, 1997, 55
1, 1973, 32
2, 1975, 36
0, 1999, 40
1, 1975, 32
2, 1977, 24
0, 1999, 47
1, 1975, 7
2, 1977, 47
0, 1999, 53
1, 1975, 48
2, 1977, 47
0, 1999, 53
1, 1975, 48
2, 1977, 46
0, 1999, 52
1, 1975, 35
2, 1977, 47
0, 1999, 53
1, 1975, 47
2, 1977, 47
0, 1999, 53
1, 1975, 48
2, 1977, 47
0, 1999, 53
1, 1975, 42
2, 1977, 47
0, 1999, 53
1, 1975, 48
2, 1977, 47
0, 1999, 52
1, 1975, 48
2, 1977, 46
0, 1999, 53
1, 1975, 46
2, 1977, 46
0, 1999, 53
1, 1975, 46
2, 1977, 46
0, 1999, 52
1, 1975, 48
2, 1977, 46
0, 1999, 34
1, 1975, 48
2, 1977, 27
0, 1999, 52
1, 1975, 46
2, 1977, 45
0, 1999, 52
1, 1975, 31
2, 1977, 45
0, 1999, 52
1, 1975, 46
2, 1977, 45
0, 1999, 3
1, 1975, 3
2, 1977, 4
0, 1999, 3
1, 1975, 28
2, 1977, 4
0, 1999, 52
1, 1975, 46
2, 1977, 44
0, 1999, 38
1, 1975, 46
2, 1977, 31
0, 1999, 51
1, 1975, 15
2, 1977, 45
0, 1999, 4
1, 1975, 15
2, 1977, 4
0, 1999, 4
1, 1975, 4
2, 1977, 11
0, 1999, 52
1, 1975, 45
2, 1977, 45
0, 1999, 51
1, 1975, 45
2, 1977, 44
0, 1999, 3
1, 1975, 40
2, 1977, 4
0, 1999, 21
1, 1975, 24
2, 1977, 34
0, 1999, 52
1, 1975, 4
2, 1977, 45
0, 1999, 52
1, 1975, 40
2, 1977, 45
0, 1999, 51
1, 1975, 46
2, 1977, 44
0, 1999, 31
1, 1975, 8
2, 1977, 12
0, 1999, 51
1, 1975, 46
2, 1977, 44
0, 1999, 52
1, 1975, 46
2, 1977, 40
0, 1999, 52
1, 1975, 44
2, 1977, 45
