0, 1907, 0
1, 1857, 7
2, 2167, 0
0, 1909, 0
1, 1859, 7
2, 2169, 0
0, 1909, 30
1, 1859, 24
2, 2169, 36
0, 1909, 30
1, 1859, 31
2, 2169, 33
0, 1909, 24
1, 1859, 28
2, 2169, 28
0, 1909, 29
1, 1859, 30
2, 2169, 33
0, 1909, 27
1, 1859, 30
2, 2169, 33
0, 1909, 30
1, 1859, 28
2, 2169, 38
0, 1909, 31
1, 1859, 28
2, 2169, 38
0, 1917, 31
1, 1867, 30
2, 2177, 38
0, 1917, 89
1, 1867, 12
2, 2177, 88
0, 1917, 7
1, 1867, 31
2, 2179, 7
0, 1917, 29
1, 1867, 31
2, 2179, 36
0, 1917, 27
1, 1867, 29
2, 2179, 33
0, 1917, 30
1, 1867, 27
2, 2179, 35
0, 1917, 31
1, 1867, 28
2, 2179, 37
0, 1917, 30
1, 1867, 28
2, 2179, 36
0, 1917, 29
1, 1867, 28
2, 2179, 35
0, 1917, 30
1, 1867, 28
2, 2179, 36
0, 1917, 30
1, 1867, 28
2, 2179, 35
0, 1917, 30
1, 1867, 28
2, 2179, 35
0, 1917, 31
1, 1867, 28
2, 2179, 37
0, 1919, 31
1, 1869, 29
2, 2179, 37
0, 1919, 28
1, 1869, 29
2, 2179, 35
0, 1919, 28
1, 1869, 28
2, 2179, 32
0, 1919, 27
1, 1869, 28
2, 2179, 34
0, 1919, 10
1, 1869, 28
2, 2179, 2
0, 1919, 31
1, 1869, 26
2, 2179, 34
0, 1919, 28
1, 1869, 28
2, 2179, 34
0, 1919, 29
1, 1869, 29
2, 2179, 32
0, 1919, 29
1, 1869, 6
2, 2179, 28
0, 1919, 29
1, 1869, 25
2, 2179, 28
0, 1919, 31
1, 1869, 27
2, 2179, 34
0, 1919, 27
1, 1869, 28
2, 2179, 34
0, 1919, 30
1, 1869, 28
2, 2179, 34
0, 1919, 29
1, 1869, 14
2, 2179, 29
0, 1919, 27
1, 1869, 29
2, 2179, 32
0, 1919, 28
1, 1869, 29
2, 2179, 34
0, 1919, 27
1, 1869, 14
2, 2179, 32
0, 1919, 29
1, 1869, 29
2, 2179, 32
0, 1919, 29
1, 1869, 26
2, 2179, 35
0, 1919, 29
1, 1869, 27
2, 2179, 35
0, 1919, 29
1, 1869, 29
2, 2179, 35
